;Unnamed: 0;channel_id;video_id;title;duration;view_count;datapoint_0;datapoint_1;datapoint_2;datapoint_3;datapoint_4;datapoint_5;datapoint_6;datapoint_7;datapoint_8;datapoint_9;datapoint_10;datapoint_11;datapoint_12;datapoint_13;datapoint_14;datapoint_15;datapoint_16;datapoint_17;datapoint_18;datapoint_19;datapoint_20;datapoint_21;datapoint_22;datapoint_23;datapoint_24;datapoint_25;datapoint_26;datapoint_27;datapoint_28;datapoint_29;datapoint_30;datapoint_31;datapoint_32;datapoint_33;datapoint_34;datapoint_35;datapoint_36;datapoint_37;datapoint_38;datapoint_39;datapoint_40;datapoint_41;datapoint_42;datapoint_43;datapoint_44;datapoint_45;datapoint_46;datapoint_47;datapoint_48;datapoint_49;datapoint_50;datapoint_51;datapoint_52;datapoint_53;datapoint_54;datapoint_55;datapoint_56;datapoint_57;datapoint_58;datapoint_59;datapoint_60;datapoint_61;datapoint_62;datapoint_63;datapoint_64;datapoint_65;datapoint_66;datapoint_67;datapoint_68;datapoint_69;datapoint_70;datapoint_71;datapoint_72;datapoint_73;datapoint_74;datapoint_75;datapoint_76;datapoint_77;datapoint_78;datapoint_79;datapoint_80;datapoint_81;datapoint_82;datapoint_83;datapoint_84;datapoint_85;datapoint_86;datapoint_87;datapoint_88;datapoint_89;datapoint_90;datapoint_91;datapoint_92;datapoint_93;datapoint_94;datapoint_95;datapoint_96;datapoint_97;datapoint_98;datapoint_99
34;34;UCyytiQuL-5S59OX1opqG-bQ;FZBmYtTTuT0;EcroDeron - Calm (Video Edit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;35;UCyytiQuL-5S59OX1opqG-bQ;Ws710fp-Yvg;EcroDeron - Bright (Copyright Free Acoustic Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;36;UCyytiQuL-5S59OX1opqG-bQ;tUPZWKlS160;Falling in Love By Barradeen (Copyright Free Lofi Hip Hop Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;37;UCyytiQuL-5S59OX1opqG-bQ;Q152QsqJCK0;Copyright Free Music: Press Fuse By French Fuse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;38;UCyytiQuL-5S59OX1opqG-bQ;LQAAq_d9jKk;Copyright Free Music: Unstoppable By ONLAP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;39;UCyytiQuL-5S59OX1opqG-bQ;AikbRz_4yds;Copyright Free Music: Drowning By Wanheda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;40;UCyytiQuL-5S59OX1opqG-bQ;PCsl48DonVA;Copyright Free Music: What U Want By BTAV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;41;UCyytiQuL-5S59OX1opqG-bQ;9aV4P7-zDhI;Copyright Free Music: One Last Song By Wanheda;159.0;65876;1.0;0.08237784172903137;0.06588451538637645;0.07950393977661173;0.057246267170033886;0.077367884271703;0.08963955214881159;0.06126729312477792;0.05714802558841002;0.06418562721533508;0.05231534542832742;0.03243257445737974;0.04281528763050245;0.03628448423215048;0.02610224948265299;0.04067725100474539;0.025366075981636232;0.03097662673347971;0.03173893452035417;0.04736712740099224;0.03022156104392863;0.0349297552742603;0.03402903868056185;0.04843119841486339;0.05387092151844515;0.03804381309840667;0.02239600712137002;0.012859958961466845;0.02610970620140161;0.021742473875296438;0.0280810039922034;0.026365534940284107;0.030148402653490152;0.020673389525056297;0.013845973813913335;0.011432357775038504;0.02633974735057486;0.023972737179657266;0.012933464048053782;0.022360787195177284;0.02034807847553169;0.01665209942086582;0.02273033777386805;0.013183784170355196;0.01459330212592895;0.010680962662170322;0.020961604086695708;0.02061257461812568;0.017910259743626287;0.013367852309619989;0.015988611042529324;0.010148547440405484;0.01395534269096872;0.017217703919953847;0.013811551839173403;0.011584007072865578;0.005618362421410759;0.007656005748178116;0.002892315370082276;0.00746345180794626;0.009490534659969263;0.017243601571932443;0.011811379212007036;0.01263057268279624;0.016006221005625692;0.010449727337374598;0.007425194163119399;0.01722392794128572;0.007097186587995661;0.007883741092808438;0.011309632841597217;0.012787405913509806;0.005109682128031746;0.0;0.007345310968023496;0.010816449315743009;0.0030262116238628217;0.01909093622876273;0.015322596735111191;0.007480544478376673;0.011676817081496909;0.00041434867387388707;0.015410976737401091;0.013541057302899711;0.0021610066213708884;0.005045199395974964;0.004511694557743538;0.0032759786832607402;0.008932166755091153;0.016686978154023566;0.009947903923376232;0.005897827032636663;0.011625208883397613;0.015236511531137286;0.014690932861957912;0.01694020392023588;0.0036981665422692453;0.01769137340545189;0.011479233295555651;0.26621071188685796
62;62;UCyytiQuL-5S59OX1opqG-bQ;m755wDbc-Qg;A la Orilla del Mar By Tanel Sra (FREE DOWNLOAD);132.0;77370;0.16132731135860745;0.0;0.06227686416565693;0.1208735511811933;0.1785940579247013;0.20380184135361876;0.24022244968563664;0.2564530979545343;0.286009056612906;0.3300180021219733;0.3682931370278843;0.39900372307863236;0.4463409710805508;0.48340661419852055;0.5107684095485499;0.5440316337929475;0.5998406869957357;0.6443860385376314;0.6752870686682225;0.6990693403457089;0.7467518627768589;0.7646786321467407;0.7876688764596816;0.8219056343396665;0.8523857624280919;0.8462812390168081;0.8238444513257933;0.8202675402435154;0.8387851675275381;0.8462850891498301;0.8466269259602919;0.8546078392008444;0.8649327959280994;0.8727735918275976;0.8820696005046974;0.8957375727331379;0.934733232533184;0.9385630148521631;0.944994249551322;0.9519103260017634;0.9569812262013653;0.9532938988042037;0.951960790245303;0.9597428716162143;0.9783226510475937;0.978895633344132;0.9783783404716633;0.9749899484027174;0.9739197489273255;0.9642594901653853;0.9541656789242068;0.9554116094711073;0.9665380813907121;0.9682243021496393;0.9667250878517852;0.9671327894378751;0.9777588815693582;0.9770427568272484;0.9780945306660345;0.981644353312407;1.0;0.9962538205695006;0.9981266352752488;0.9898641123050801;0.9919272335859204;0.9932801428289347;0.9917751533315476;0.9877831154066373;0.9918601312675352;0.9869948006703632;0.9839956845509013;0.98501830738252;0.9863071394116667;0.9874018147326991;0.9868381827592143;0.978443105209285;0.9749632724810642;0.9752839335599045;0.9743853400134974;0.972621016556122;0.9724175095249541;0.9709127950370685;0.9659047345085773;0.9597095954665233;0.9553215438593403;0.9521091578714045;0.9442938003508021;0.9357437549467335;0.9239501099762997;0.9096102895355035;0.8893792155518974;0.8717920829164648;0.8542363013642121;0.8331097964434672;0.8217290782396531;0.8204498715430618;0.8100846259238257;0.8229882092426294;0.8441394650185164;0.8399267319685895
309;309;UCyytiQuL-5S59OX1opqG-bQ;CH5rfq23fxM;RYYZN - Flood (Instrumental) // COPYRIGHT FREE MUSIC;127.0;53205;0.0669705548538889;0.0;0.012464687590140315;0.01784126794051172;0.03491394730044111;0.0444173254676376;0.043854868725575036;0.06049720927465241;0.0920321797632308;0.12095472856797493;0.14332270666091274;0.14367136846084963;0.14382395271544995;0.13978709751760632;0.14130853424974263;0.14032453149629723;0.1398039299859692;0.13796128306337369;0.14249377349296688;0.1450874798819995;0.1446668564555717;0.13641039892573456;0.1469221436204945;0.15040800848928784;0.16199616505910946;0.16425860696449968;0.16589380407006826;0.17241437093638984;0.1817973235245607;0.1794457862720865;0.17625428248873504;0.16602865209961506;0.18547866343423022;0.16980680694476766;0.18238160222504898;0.20166362778479444;0.22777108746783192;0.2607254078390349;0.27386053226750295;0.28137696369383436;0.29758448430513534;0.30843412103260226;0.30124737251570466;0.3260407323140464;0.3215609233682108;0.32667396450194347;0.30937986475281126;0.32836229496961494;0.32571752632756207;0.3247065614995131;0.32737452656329197;0.33165144213208253;0.3520631635551077;0.36734501137603737;0.3814097625303982;0.3817477675326915;0.38834376042615143;0.40041644355173367;0.4249510276843268;0.4334240102546259;0.45229881811218786;0.4503613897066632;0.4702993166846288;0.46906184783599225;0.49104693434433583;0.4929866974546446;0.5070035871609312;0.5245943827002895;0.5390803974420673;0.5927638461173483;0.61114211498647;0.5793325154335284;0.6018812448645909;0.6140180194021498;0.6386981083619334;0.6309175163862385;0.6346737551316435;0.6455003084069707;0.6619095173863959;0.7042480330112194;0.706648937972919;0.7210909698890865;0.7465191434495339;0.7519073408390327;0.7763579509124553;0.7717264238121813;0.7927506663322766;0.8109821500522296;0.8195213704566456;0.8416799029365314;0.8466187073116176;0.8675608585989814;0.8945669160282003;0.9041096829244964;0.936551686221702;0.9054466403221592;0.851686899519578;0.8109821500522296;0.8187577713661262;1.0
